<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	00:00:00	87708.93	87709.68	87687.45	87687.53	118	0	1794
2025.12.24	00:01:00	87686.83	87693.13	87675.90	87677.76	91	0	1794
2025.12.24	00:02:00	87677.83	87702.54	87675.87	87688.22	97	0	1794
2025.12.24	00:03:00	87687.72	87701.68	87687.65	87701.63	86	0	1794
2025.12.24	00:04:00	87701.57	87701.57	87688.07	87689.14	78	0	1794
2025.12.24	00:05:00	87689.76	87727.09	87688.08	87711.78	118	0	1794
2025.12.24	00:06:00	87711.70	87740.86	87711.70	87736.39	127	0	1794
2025.12.24	00:07:00	87736.39	87771.40	87735.64	87754.73	119	0	1795
2025.12.24	00:08:00	87754.78	87754.78	87700.87	87700.87	68	0	1794
2025.12.24	00:09:00	87700.85	87716.90	87700.85	87714.67	45	0	1794
2025.12.24	00:10:00	87714.73	87715.38	87524.31	87524.31	164	0	1794
2025.12.24	00:11:00	87524.22	87529.70	87463.41	87471.01	173	0	1794
2025.12.24	00:12:00	87471.05	87471.05	87441.25	87457.34	124	0	1794
2025.12.24	00:13:00	87457.30	87457.30	87385.87	87430.63	170	0	1794
2025.12.24	00:14:00	87429.35	87484.78	87421.72	87473.60	139	0	1794
2025.12.24	00:15:00	87474.01	87532.62	87474.01	87486.57	146	0	1794
2025.12.24	00:16:00	87486.55	87524.26	87486.55	87496.89	85	0	1794
2025.12.24	00:17:00	87495.93	87544.65	87494.94	87544.62	131	0	1794
2025.12.24	00:18:00	87544.64	87601.96	87541.35	87565.72	126	0	1795
2025.12.24	00:19:00	87563.56	87563.56	87543.93	87545.55	79	0	1794
2025.12.24	00:20:00	87545.58	87562.26	87542.46	87543.58	58	0	1795
2025.12.24	00:21:00	87544.85	87544.93	87489.61	87501.78	72	0	1794
2025.12.24	00:22:00	87504.97	87525.48	87493.34	87496.28	119	0	1794
2025.12.24	00:23:00	87495.76	87550.37	87495.76	87546.37	80	0	1794
2025.12.24	00:24:00	87546.35	87587.67	87546.35	87565.77	81	0	1794
2025.12.24	00:25:00	87565.80	87601.03	87564.36	87577.89	84	0	1794
2025.12.24	00:26:00	87580.01	87580.05	87544.91	87545.70	57	0	1795
2025.12.24	00:27:00	87545.45	87545.45	87395.42	87422.98	136	0	1794
2025.12.24	00:28:00	87423.70	87475.57	87423.70	87470.80	77	0	1794
2025.12.24	00:29:00	87470.82	87512.94	87457.65	87466.21	90	0	1794
2025.12.24	00:30:00	87466.24	87482.49	87358.89	87364.91	184	0	1794
2025.12.24	00:31:00	87364.84	87402.75	87354.94	87391.29	199	0	1794
2025.12.24	00:32:00	87393.69	87435.13	87392.78	87400.75	93	0	1794
2025.12.24	00:33:00	87406.92	87407.55	87369.52	87373.04	68	0	1794
2025.12.24	00:34:00	87372.91	87372.91	87323.28	87349.85	108	0	1794
2025.12.24	00:35:00	87349.92	87349.92	87308.23	87308.23	75	0	1794
2025.12.24	00:36:00	87306.18	87306.18	87232.83	87246.64	134	0	1794
2025.12.24	00:37:00	87245.73	87361.96	87244.99	87361.96	120	0	1794
2025.12.24	00:38:00	87363.27	87428.82	87363.27	87428.80	101	0	1794
2025.12.24	00:39:00	87425.20	87519.54	87411.47	87502.58	107	0	1794
2025.12.24	00:40:00	87500.35	87557.20	87484.95	87502.52	125	0	1794
2025.12.24	00:41:00	87502.56	87570.82	87468.21	87567.23	125	0	1794
2025.12.24	00:42:00	87567.30	87625.27	87535.21	87618.29	94	0	1794
2025.12.24	00:43:00	87618.82	87656.98	87618.82	87623.56	95	0	1794
2025.12.24	00:44:00	87617.97	87617.97	87565.20	87565.77	140	0	1794
2025.12.24	00:45:00	87565.78	87581.75	87520.54	87546.76	90	0	1794
2025.12.24	00:46:00	87546.71	87571.82	87546.71	87571.82	61	0	1794
2025.12.24	00:47:00	87571.89	87650.25	87569.34	87607.95	130	0	1794
2025.12.24	00:48:00	87607.60	87607.60	87561.80	87574.06	88	0	1794
2025.12.24	00:49:00	87574.70	87588.27	87539.53	87560.13	108	0	1794
2025.12.24	00:50:00	87560.15	87561.85	87456.43	87456.43	98	0	1794
2025.12.24	00:51:00	87455.97	87455.97	87342.76	87378.41	106	0	1794
2025.12.24	00:52:00	87379.90	87395.30	87372.92	87393.80	62	0	1794
2025.12.24	00:53:00	87395.32	87402.50	87393.78	87402.50	39	0	1794
2025.12.24	00:54:00	87405.04	87405.25	87391.87	87404.73	38	0	1794
2025.12.24	00:55:00	87404.95	87405.19	87383.83	87393.28	51	0	1794
2025.12.24	00:56:00	87396.01	87438.32	87394.88	87438.32	73	0	1794
2025.12.24	00:57:00	87442.79	87443.11	87339.75	87356.59	114	0	1794
2025.12.24	00:58:00	87355.76	87384.15	87351.64	87383.65	90	0	1794
2025.12.24	00:59:00	87383.24	87439.53	87363.51	87396.25	128	0	1794
2025.12.24	01:00:00	87396.74	87403.56	87337.47	87350.05	172	0	1794
2025.12.24	01:01:00	87347.96	87347.96	87195.11	87304.70	202	0	1794
2025.12.24	01:02:00	87304.06	87307.77	87224.64	87251.95	159	0	1794
2025.12.24	01:03:00	87252.76	87337.07	87252.76	87321.17	160	0	1794
2025.12.24	01:04:00	87321.14	87368.76	87321.03	87354.99	108	0	1794
2025.12.24	01:05:00	87352.74	87364.88	87322.22	87351.45	87	0	1794
2025.12.24	01:06:00	87350.53	87350.79	87323.21	87346.58	65	0	1794
2025.12.24	01:07:00	87346.55	87347.15	87244.91	87249.40	102	0	1794
2025.12.24	01:08:00	87249.48	87278.65	87227.69	87265.52	91	0	1795
2025.12.24	01:09:00	87265.91	87315.01	87263.46	87309.59	66	0	1795
2025.12.24	01:10:00	87311.70	87311.70	87263.12	87271.42	88	0	1794
2025.12.24	01:11:00	87271.49	87282.18	87251.67	87258.28	91	0	1794
2025.12.24	01:12:00	87258.38	87281.00	87258.38	87269.04	60	0	1795
2025.12.24	01:13:00	87269.14	87285.59	87269.14	87278.36	50	0	1794
2025.12.24	01:14:00	87278.11	87320.92	87274.41	87313.51	79	0	1794
2025.12.24	01:15:00	87311.20	87311.20	87222.47	87242.80	125	0	1794
2025.12.24	01:16:00	87242.57	87242.57	87227.41	87238.82	61	0	1794
2025.12.24	01:17:00	87238.24	87270.87	87223.33	87251.41	81	0	1794
2025.12.24	01:18:00	87251.40	87306.19	87251.40	87304.84	69	0	1794
2025.12.24	01:19:00	87302.54	87302.54	87264.03	87264.03	49	0	1794
2025.12.24	01:20:00	87267.28	87267.28	87223.91	87231.50	67	0	1794
2025.12.24	01:21:00	87230.92	87252.15	87230.92	87235.98	47	0	1795
2025.12.24	01:22:00	87234.54	87238.18	87215.99	87223.68	58	0	1794
2025.12.24	01:23:00	87223.74	87225.88	87187.34	87191.47	62	0	1795
2025.12.24	01:24:00	87191.30	87216.64	87189.80	87211.85	49	0	1794
2025.12.24	01:25:00	87210.82	87280.34	87170.53	87280.34	73	0	1795
2025.12.24	01:26:00	87280.42	87364.69	87247.88	87343.94	122	0	1794
2025.12.24	01:27:00	87343.88	87381.13	87335.53	87378.36	115	0	1794
2025.12.24	01:28:00	87380.37	87416.04	87316.54	87406.33	122	0	1795
2025.12.24	01:29:00	87406.90	87417.73	87386.27	87402.37	64	0	1794
2025.12.24	01:30:00	87402.34	87480.93	87377.75	87476.23	118	0	1794
2025.12.24	01:31:00	87475.96	87509.95	87472.58	87489.47	84	0	1794
2025.12.24	01:32:00	87490.41	87490.41	87436.60	87448.48	105	0	1794
2025.12.24	01:33:00	87448.61	87459.70	87439.32	87458.54	86	0	1794
2025.12.24	01:34:00	87457.56	87457.56	87384.70	87404.53	86	0	1794
2025.12.24	01:35:00	87404.76	87457.61	87404.76	87454.27	69	0	1794
2025.12.24	01:36:00	87454.85	87462.73	87444.26	87444.26	52	0	1794
2025.12.24	01:37:00	87444.62	87472.80	87444.62	87456.83	73	0	1795
2025.12.24	01:38:00	87456.35	87464.88	87426.40	87441.71	72	0	1794
2025.12.24	01:39:00	87440.47	87447.29	87436.75	87436.75	42	0	1795
2025.12.24	01:40:00	87441.09	87450.60	87408.26	87427.64	67	0	1794
2025.12.24	01:41:00	87427.73	87434.29	87427.73	87432.91	35	0	1794
2025.12.24	01:42:00	87435.62	87491.87	87435.62	87487.87	50	0	1794
2025.12.24	01:43:00	87489.30	87505.52	87473.35	87484.57	62	0	1794
2025.12.24	01:44:00	87484.72	87486.82	87476.50	87484.74	47	0	1794
2025.12.24	01:45:00	87484.64	87484.64	87464.03	87464.06	51	0	1794
2025.12.24	01:46:00	87464.05	87489.46	87461.99	87483.82	61	0	1794
2025.12.24	01:47:00	87483.82	87514.18	87454.86	87494.83	70	0	1795
2025.12.24	01:48:00	87494.07	87494.07	87472.50	87474.70	51	0	1795
2025.12.24	01:49:00	87475.63	87491.34	87473.76	87476.42	44	0	1794
2025.12.24	01:50:00	87475.46	87475.46	87420.98	87420.98	72	0	1794
2025.12.24	01:51:00	87426.10	87464.44	87422.95	87451.01	55	0	1794
2025.12.24	01:52:00	87450.92	87468.75	87448.50	87466.06	51	0	1794
2025.12.24	01:53:00	87467.48	87467.94	87421.99	87423.01	53	0	1794
2025.12.24	01:54:00	87423.04	87439.22	87413.77	87439.22	55	0	1794
2025.12.24	01:55:00	87438.16	87471.71	87414.21	87429.72	91	0	1794
2025.12.24	01:56:00	87429.70	87452.47	87429.70	87446.86	55	0	1794
2025.12.24	01:57:00	87446.76	87469.58	87439.96	87469.58	45	0	1795
2025.12.24	01:58:00	87469.57	87488.09	87434.08	87448.46	82	0	1794
2025.12.24	01:59:00	87448.48	87505.10	87445.32	87481.00	59	0	1794
2025.12.24	02:00:00	87481.63	87491.51	87457.27	87467.24	81	0	1794
2025.12.24	02:01:00	87468.04	87536.84	87468.04	87534.48	75	0	1794
2025.12.24	02:02:00	87532.41	87532.44	87479.08	87488.74	67	0	1794
2025.12.24	02:03:00	87492.94	87599.57	87490.85	87541.24	100	0	1794
2025.12.24	02:04:00	87540.56	87561.30	87533.69	87533.69	60	0	1794
2025.12.24	02:05:00	87533.57	87536.75	87478.33	87493.57	74	0	1795
2025.12.24	02:06:00	87494.55	87647.63	87494.55	87641.02	102	0	1794
2025.12.24	02:07:00	87641.91	87643.72	87559.75	87560.33	76	0	1794
2025.12.24	02:08:00	87560.36	87586.63	87558.87	87569.04	46	0	1794
2025.12.24	02:09:00	87570.67	87574.55	87492.14	87492.14	96	0	1795
2025.12.24	02:10:00	87491.26	87504.50	87464.53	87464.53	83	0	1794
2025.12.24	02:11:00	87470.15	87470.81	87390.48	87416.77	142	0	1794
2025.12.24	02:12:00	87416.53	87422.17	87383.51	87389.93	74	0	1794
2025.12.24	02:13:00	87389.48	87400.01	87382.05	87398.08	73	0	1795
2025.12.24	02:14:00	87398.01	87401.44	87394.44	87400.36	36	0	1795
2025.12.24	02:15:00	87400.25	87409.85	87390.58	87398.46	52	0	1794
2025.12.24	02:16:00	87398.41	87400.82	87389.23	87393.76	48	0	1794
2025.12.24	02:17:00	87392.23	87432.32	87392.23	87421.01	64	0	1794
2025.12.24	02:18:00	87420.45	87422.61	87380.38	87380.41	57	0	1794
2025.12.24	02:19:00	87380.71	87380.71	87308.55	87330.39	118	0	1794
2025.12.24	02:20:00	87330.73	87355.15	87283.25	87303.33	86	0	1794
2025.12.24	02:21:00	87303.36	87311.46	87252.80	87284.52	98	0	1794
2025.12.24	02:22:00	87284.47	87285.45	87271.57	87284.48	46	0	1794
2025.12.24	02:23:00	87284.77	87301.07	87284.39	87298.32	36	0	1794
2025.12.24	02:24:00	87297.49	87357.66	87297.49	87357.66	67	0	1794
2025.12.24	02:25:00	87361.74	87363.66	87327.09	87330.35	54	0	1795
2025.12.24	02:26:00	87327.83	87335.49	87315.43	87315.43	59	0	1794
2025.12.24	02:27:00	87315.03	87334.49	87315.03	87329.43	51	0	1794
2025.12.24	02:28:00	87329.21	87334.43	87307.31	87307.38	57	0	1794
2025.12.24	02:29:00	87307.18	87341.32	87307.18	87337.42	52	0	1794
2025.12.24	02:30:00	87336.23	87339.01	87263.85	87270.44	101	0	1794
2025.12.24	02:31:00	87270.50	87310.93	87268.01	87309.69	62	0	1794
2025.12.24	02:32:00	87309.66	87310.95	87309.34	87309.67	31	0	1795
2025.12.24	02:33:00	87309.62	87360.87	87309.62	87338.79	73	0	1794
2025.12.24	02:34:00	87339.60	87369.92	87338.29	87366.13	42	0	1794
2025.12.24	02:35:00	87367.08	87373.83	87355.33	87355.33	67	0	1794
2025.12.24	02:36:00	87356.36	87383.66	87355.30	87383.66	36	0	1794
2025.12.24	02:37:00	87383.92	87474.73	87381.67	87466.54	99	0	1794
2025.12.24	02:38:00	87466.51	87518.68	87466.51	87478.08	90	0	1794
2025.12.24	02:39:00	87478.76	87479.81	87452.15	87460.65	63	0	1794
2025.12.24	02:40:00	87460.93	87488.16	87456.58	87471.53	56	0	1794
2025.12.24	02:41:00	87472.26	87475.59	87466.03	87467.41	43	0	1795
2025.12.24	02:42:00	87466.55	87486.46	87466.55	87485.97	54	0	1794
2025.12.24	02:43:00	87485.97	87545.15	87485.97	87501.52	63	0	1794
2025.12.24	02:44:00	87502.12	87502.15	87484.88	87494.03	45	0	1794
2025.12.24	02:45:00	87493.56	87575.56	87493.56	87572.20	116	0	1794
2025.12.24	02:46:00	87574.32	87595.84	87532.37	87545.23	120	0	1794
2025.12.24	02:47:00	87545.27	87585.39	87536.13	87549.42	125	0	1794
2025.12.24	02:48:00	87549.41	87553.44	87541.89	87542.96	96	0	1794
2025.12.24	02:49:00	87543.00	87546.95	87541.45	87546.51	62	0	1794
2025.12.24	02:50:00	87545.89	87584.22	87535.97	87556.17	139	0	1794
2025.12.24	02:51:00	87556.15	87557.45	87531.05	87534.04	87	0	1794
2025.12.24	02:52:00	87534.03	87551.45	87530.20	87545.97	112	0	1794
2025.12.24	02:53:00	87546.00	87555.07	87538.96	87544.22	87	0	1794
2025.12.24	02:54:00	87544.18	87605.80	87544.18	87595.45	114	0	1794
2025.12.24	02:55:00	87595.42	87615.13	87595.42	87614.93	85	0	1794
2025.12.24	02:56:00	87614.87	87626.40	87592.46	87625.12	90	0	1794
2025.12.24	02:57:00	87625.09	87664.44	87581.71	87658.74	112	0	1794
2025.12.24	02:58:00	87659.55	87659.65	87627.76	87638.55	89	0	1794
2025.12.24	02:59:00	87638.56	87650.94	87628.17	87650.14	93	0	1794
2025.12.24	03:00:00	87650.65	87814.25	87649.81	87776.35	174	0	1794
2025.12.24	03:01:00	87773.90	87774.22	87679.26	87684.64	166	0	1794
2025.12.24	03:02:00	87684.60	87694.40	87617.00	87640.10	107	0	1794
