<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	01:00:00	48462.01	48467.46	48456.51	48467.46	32	0	110
2025.12.24	01:01:00	48468.66	48473.01	48460.16	48464.66	43	0	110
2025.12.24	01:02:00	48466.66	48473.46	48465.66	48471.16	16	0	110
2025.12.24	01:03:00	48471.16	48475.16	48471.16	48475.16	7	0	170
2025.12.24	01:04:00	48475.16	48476.66	48470.66	48471.51	11	0	110
2025.12.24	01:05:00	48468.01	48469.51	48459.66	48464.66	20	0	270
2025.12.24	01:06:00	48462.51	48467.51	48461.51	48467.51	16	0	470
2025.12.24	01:07:00	48466.51	48466.66	48459.66	48459.66	9	0	370
2025.12.24	01:08:00	48461.66	48462.16	48461.66	48461.66	3	0	170
2025.12.24	01:09:00	48462.66	48467.51	48461.66	48461.66	15	0	110
2025.12.24	20:12:00	48755.46	48764.46	48749.46	48753.46	50	0	110
2025.12.24	20:13:00	48750.46	48758.46	48744.46	48750.46	62	0	110
2025.12.24	20:14:00	48751.16	48759.16	48750.16	48756.01	44	0	110
