<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	00:00:00	1.17932	1.17932	1.17806	1.17806	9	0	23
2025.12.24	00:01:00	1.17806	1.17906	1.17806	1.17906	12	0	63
2025.12.24	00:02:00	1.17906	1.17907	1.17906	1.17907	2	0	62
2025.12.24	00:03:00	1.17907	1.17907	1.17898	1.17898	4	0	62
2025.12.24	00:04:00	1.17898	1.17907	1.17898	1.17898	5	0	62
2025.12.24	00:05:00	1.17898	1.17931	1.17898	1.17930	12	0	28
2025.12.24	00:06:00	1.17930	1.17931	1.17928	1.17930	9	0	27
2025.12.24	00:07:00	1.17930	1.17934	1.17930	1.17933	14	0	26
2025.12.24	00:08:00	1.17933	1.17936	1.17922	1.17925	19	0	25
2025.12.24	00:09:00	1.17925	1.17925	1.17912	1.17917	55	0	33
2025.12.24	00:10:00	1.17917	1.17919	1.17915	1.17918	43	0	38
