<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	00:00:00	12022	12025	12016	12020	72	0	48
2025.12.24	00:01:00	12020	12021	12011	12015	67	0	48
2025.12.24	00:02:00	12015	12025	12013	12022	99	0	48
2025.12.24	00:03:00	12022	12025	12018	12023	77	0	48
2025.12.24	00:04:00	12024	12025	12017	12024	69	0	48
2025.12.24	00:05:00	12022	12029	12020	12027	94	0	48
2025.12.24	00:06:00	12024	12028	12014	12026	88	0	48
2025.12.24	00:07:00	12028	12030	12021	12028	58	0	48
2025.12.24	00:08:00	12027	12032	12019	12020	54	0	48
2025.12.24	00:09:00	12020	12027	12019	12022	58	0	49
2025.12.24	00:10:00	12022	12027	11994	11999	119	0	48
2025.12.24	00:11:00	11999	12002	11992	12000	88	0	48
2025.12.24	00:12:00	11998	12003	11993	12003	84	0	48
2025.12.24	00:13:00	12002	12010	11994	11995	111	0	48
2025.12.24	00:14:00	11995	12008	11995	12001	76	0	48
2025.12.24	00:15:00	12004	12011	11999	12000	88	0	48
2025.12.24	00:16:00	12000	12004	11997	12001	81	0	48
2025.12.24	00:17:00	12001	12005	11997	12001	79	0	48
2025.12.24	00:18:00	12002	12007	11999	11999	75	0	48
2025.12.24	00:19:00	11999	12003	11984	11988	86	0	48
2025.12.24	00:20:00	11988	11992	11985	11990	72	0	48
2025.12.24	00:21:00	11990	11991	11984	11988	83	0	48
2025.12.24	00:22:00	11988	11988	11972	11976	98	0	48
2025.12.24	00:23:00	11976	11986	11975	11981	83	0	48
2025.12.24	00:24:00	11981	11997	11980	11992	81	0	48
2025.12.24	00:25:00	11995	11998	11989	11991	70	0	48
2025.12.24	00:26:00	11991	11994	11987	11988	98	0	48
2025.12.24	00:27:00	11987	11991	11961	11965	112	0	48
2025.12.24	00:28:00	11967	11975	11966	11971	89	0	48
2025.12.24	00:29:00	11969	11978	11966	11975	101	0	48
2025.12.24	00:30:00	11975	11976	11962	11964	113	0	48
2025.12.24	00:31:00	11966	11971	11962	11969	97	0	48
2025.12.24	00:32:00	11969	11973	11962	11962	95	0	48
2025.12.24	00:33:00	11962	11966	11958	11959	75	0	48
2025.12.24	00:34:00	11958	11964	11956	11957	106	0	48
2025.12.24	00:35:00	11957	11962	11956	11959	73	0	48
2025.12.24	00:36:00	11956	11958	11949	11952	90	0	48
2025.12.24	00:37:00	11951	11965	11951	11960	70	0	48
2025.12.24	00:38:00	11963	11977	11960	11973	100	0	48
2025.12.24	00:39:00	11973	11984	11958	11980	123	0	48
2025.12.24	00:40:00	11976	11980	11975	11980	66	0	48
2025.12.24	00:41:00	11980	11991	11975	11987	76	0	48
2025.12.24	00:42:00	11987	11995	11987	11995	65	0	48
2025.12.24	00:43:00	11995	12000	11991	11997	52	0	48
2025.12.24	00:44:00	11995	11999	11991	11994	63	0	48
2025.12.24	00:45:00	11997	12005	11993	12000	81	0	48
2025.12.24	00:46:00	12000	12005	12000	12004	68	0	48
2025.12.24	00:47:00	12004	12005	11999	12000	86	0	48
2025.12.24	00:48:00	12003	12005	11986	11986	72	0	48
2025.12.24	00:49:00	11986	11989	11981	11987	73	0	48
2025.12.24	00:50:00	11989	11996	11985	11991	79	0	48
2025.12.24	00:51:00	11991	11991	11973	11975	84	0	48
2025.12.24	00:52:00	11976	11979	11973	11975	62	0	48
2025.12.24	00:53:00	11975	11978	11972	11972	65	0	48
2025.12.24	00:54:00	11973	11978	11971	11973	38	0	48
2025.12.24	00:55:00	11976	11977	11965	11969	86	0	48
2025.12.24	00:56:00	11968	11971	11963	11966	88	0	48
2025.12.24	00:57:00	11968	11970	11962	11964	62	0	48
2025.12.24	00:58:00	11963	11969	11963	11965	84	0	48
2025.12.24	00:59:00	11963	11982	11963	11976	112	0	48
2025.12.24	01:00:00	11977	11978	11961	11965	89	0	48
2025.12.24	01:01:00	11961	11965	11939	11959	109	0	48
2025.12.24	01:02:00	11959	11959	11944	11952	94	0	48
2025.12.24	01:03:00	11951	11960	11946	11950	130	0	48
2025.12.24	01:04:00	11951	11962	11948	11960	70	0	48
2025.12.24	01:05:00	11960	11966	11957	11963	57	0	48
2025.12.24	01:06:00	11963	11971	11959	11967	74	0	48
2025.12.24	01:07:00	11967	11970	11957	11958	86	0	48
2025.12.24	01:08:00	11960	11966	11958	11963	96	0	48
2025.12.24	01:09:00	11962	11971	11960	11969	107	0	48
2025.12.24	01:10:00	11966	11970	11957	11961	84	0	48
2025.12.24	01:11:00	11962	11962	11953	11953	53	0	48
2025.12.24	01:12:00	11954	11964	11953	11960	52	0	48
2025.12.24	01:13:00	11960	11967	11959	11961	44	0	48
2025.12.24	01:14:00	11961	11973	11961	11971	44	0	48
2025.12.24	01:15:00	11971	11973	11958	11966	95	0	48
2025.12.24	01:16:00	11965	11966	11958	11964	95	0	48
2025.12.24	01:17:00	11964	11968	11959	11961	99	0	48
2025.12.24	01:18:00	11963	11972	11958	11970	84	0	48
2025.12.24	01:19:00	11974	11974	11966	11967	58	0	48
2025.12.24	01:20:00	11967	11970	11962	11970	53	0	48
2025.12.24	01:21:00	11971	11975	11967	11971	79	0	48
2025.12.24	01:22:00	11970	11974	11968	11970	87	0	48
2025.12.24	01:23:00	11969	11974	11966	11969	82	0	48
2025.12.24	01:24:00	11969	11971	11962	11962	47	0	48
2025.12.24	01:25:00	11965	11979	11959	11977	78	0	48
2025.12.24	01:26:00	11977	11990	11971	11982	93	0	48
2025.12.24	01:27:00	11982	11989	11980	11988	41	0	48
2025.12.24	01:28:00	11987	11991	11978	11988	54	0	48
2025.12.24	01:29:00	11988	11992	11987	11990	36	0	48
2025.12.24	01:30:00	11991	12008	11985	12006	81	0	48
2025.12.24	01:31:00	12004	12016	12003	12005	70	0	48
2025.12.24	01:32:00	12005	12009	11997	12001	53	0	48
2025.12.24	01:33:00	12002	12010	11994	12004	92	0	48
2025.12.24	01:34:00	12008	12009	11997	11999	69	0	48
2025.12.24	01:35:00	11999	12011	11999	12007	90	0	48
2025.12.24	01:36:00	12008	12011	12004	12005	57	0	48
2025.12.24	01:37:00	12005	12012	12002	12002	69	0	48
2025.12.24	01:38:00	12002	12005	11996	12000	33	0	48
2025.12.24	01:39:00	11999	12002	11993	11996	32	0	48
2025.12.24	01:40:00	11992	11997	11987	11991	80	0	48
2025.12.24	01:41:00	11990	11991	11985	11987	40	0	48
2025.12.24	01:42:00	11990	12002	11985	11998	63	0	48
2025.12.24	01:43:00	11997	12001	11985	11989	97	0	48
2025.12.24	01:44:00	11989	11996	11989	11993	64	0	48
2025.12.24	01:45:00	11994	11994	11983	11985	77	0	48
2025.12.24	01:46:00	11985	11991	11984	11989	60	0	48
2025.12.24	01:47:00	11989	11995	11980	11993	82	0	48
2025.12.24	01:48:00	11996	11996	11987	11987	91	0	48
2025.12.24	01:49:00	11988	11993	11983	11984	80	0	48
2025.12.24	01:50:00	11986	11987	11979	11981	63	0	48
2025.12.24	01:51:00	11980	11987	11980	11986	39	0	49
2025.12.24	01:52:00	11986	11988	11982	11985	36	0	48
2025.12.24	01:53:00	11985	11986	11978	11982	53	0	49
2025.12.24	01:54:00	11982	11989	11978	11987	74	0	48
2025.12.24	01:55:00	11987	11999	11986	11999	98	0	48
2025.12.24	01:56:00	11999	12004	11996	12002	66	0	48
2025.12.24	01:57:00	12001	12002	11995	11996	55	0	48
2025.12.24	01:58:00	11996	12004	11994	11998	63	0	48
2025.12.24	01:59:00	11998	12004	11995	12003	57	0	48
2025.12.24	02:00:00	12001	12012	11989	11996	107	0	48
2025.12.24	02:01:00	11996	12001	11988	11998	80	0	48
2025.12.24	02:02:00	12000	12002	11995	11999	101	0	48
