<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	01:00:00	4485.68	4487.83	4485.68	4487.12	233	0	8
2025.12.24	01:01:00	4487.14	4488.81	4486.62	4488.80	221	0	8
2025.12.24	01:02:00	4488.81	4489.62	4487.31	4488.25	241	0	8
2025.12.24	01:03:00	4488.36	4488.50	4487.77	4487.81	140	0	8
2025.12.24	01:04:00	4487.81	4488.69	4487.81	4488.60	67	0	8
2025.12.24	01:05:00	4488.61	4488.65	4488.07	4488.50	96	0	8
2025.12.24	01:06:00	4488.50	4489.06	4488.32	4489.00	150	0	8
2025.12.24	01:07:00	4489.00	4490.33	4488.90	4490.25	201	0	8
2025.12.24	01:08:00	4490.24	4492.93	4490.24	4492.61	308	0	8
2025.12.24	01:09:00	4492.57	4493.35	4491.99	4492.85	237	0	8
2025.12.24	20:42:00	4479.40	4479.43	4479.24	4479.39	43	0	8
2025.12.24	20:43:00	4479.38	4479.90	4479.38	4479.66	45	0	8
2025.12.24	20:44:00	4479.66	4479.66	4479.05	4479.57	68	0	8
