<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	01:00:00	4485.68	4487.83	4485.68	4487.12	233	0	8
2025.12.24	01:01:00	4487.14	4488.81	4486.62	4488.80	221	0	8
2025.12.24	01:02:00	4488.81	4489.62	4487.31	4488.25	241	0	8
2025.12.24	01:03:00	4488.36	4488.50	4487.77	4487.81	140	0	8
2025.12.24	01:04:00	4487.81	4488.69	4487.81	4488.60	67	0	8
2025.12.24	01:05:00	4488.61	4488.65	4488.07	4488.50	96	0	8
2025.12.24	01:06:00	4488.50	4489.06	4488.32	4489.00	150	0	8
2025.12.24	01:07:00	4489.00	4490.33	4488.90	4490.25	201	0	8
2025.12.24	01:08:00	4490.24	4492.93	4490.24	4492.61	308	0	8
2025.12.24	01:09:00	4492.57	4493.35	4491.99	4492.85	237	0	8
2025.12.24	01:10:00	4492.84	4494.46	4492.66	4494.19	209	0	8
2025.12.24	01:11:00	4494.18	4494.51	4492.82	4492.82	258	0	8
2025.12.24	01:12:00	4492.82	4494.14	4492.45	4494.10	311	0	8
2025.12.24	01:13:00	4494.10	4494.46	4493.82	4494.35	196	0	8
2025.12.24	01:14:00	4494.36	4495.49	4494.36	4495.24	202	0	8
2025.12.24	01:15:00	4495.20	4496.88	4494.53	4496.42	318	0	8
2025.12.24	01:16:00	4496.40	4498.09	4496.37	4497.25	329	0	8
2025.12.24	01:17:00	4497.24	4497.57	4496.42	4497.12	216	0	8
2025.12.24	01:18:00	4497.11	4497.37	4495.26	4495.52	311	0	8
2025.12.24	01:19:00	4495.52	4495.52	4494.20	4494.81	277	0	8
2025.12.24	01:20:00	4494.82	4495.05	4492.87	4492.97	237	0	8
2025.12.24	01:21:00	4492.95	4494.37	4492.85	4493.99	256	0	8
2025.12.24	01:22:00	4493.98	4494.14	4492.46	4492.70	215	0	8
2025.12.24	01:23:00	4492.67	4492.89	4492.08	4492.51	226	0	8
2025.12.24	01:24:00	4492.51	4492.66	4490.81	4492.64	274	0	8
2025.12.24	01:25:00	4492.66	4494.15	4492.46	4492.56	363	0	8
2025.12.24	01:26:00	4492.58	4493.22	4492.33	4492.46	324	0	8
2025.12.24	01:27:00	4492.47	4492.67	4491.42	4491.85	216	0	8
2025.12.24	01:28:00	4491.85	4491.93	4491.10	4491.28	148	0	8
2025.12.24	01:29:00	4491.30	4492.35	4491.30	4492.18	221	0	8
2025.12.24	01:30:00	4492.18	4492.98	4492.14	4492.70	227	0	8
2025.12.24	01:31:00	4492.71	4494.79	4492.62	4494.05	303	0	8
2025.12.24	01:32:00	4494.12	4495.42	4493.62	4495.39	267	0	8
2025.12.24	01:33:00	4495.34	4498.31	4495.25	4497.48	300	0	8
2025.12.24	01:34:00	4497.51	4498.22	4495.99	4498.20	362	0	8
2025.12.24	01:35:00	4498.21	4499.60	4498.05	4499.57	271	0	8
2025.12.24	01:36:00	4499.57	4500.67	4499.47	4500.32	478	0	8
2025.12.24	01:37:00	4500.32	4504.38	4500.32	4504.06	638	0	8
2025.12.24	01:38:00	4504.05	4506.70	4503.43	4506.70	477	0	8
