<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.24	00:00:00	2617.45	2618.32	2616.89	2617.85	142	0	35
2025.12.24	00:01:00	2617.82	2618.56	2617.45	2618.21	98	0	35
2025.12.24	00:02:00	2618.24	2619.12	2618.01	2618.76	125	0	35
2025.12.24	00:03:00	2618.73	2619.45	2618.42	2619.18	87	0	35
2025.12.24	00:04:00	2619.21	2619.67	2618.89	2619.34	76	0	35
2025.12.24	00:05:00	2619.31	2620.23	2619.15	2619.98	156	0	35
2025.12.24	00:06:00	2620.01	2620.87	2619.78	2620.54	134	0	35
2025.12.24	00:07:00	2620.51	2621.34	2620.23	2620.89	112	0	36
2025.12.24	00:08:00	2620.92	2621.15	2619.87	2620.12	89	0	35
2025.12.24	00:09:00	2620.15	2620.78	2619.56	2620.43	67	0	35
2025.12.24	00:10:00	2620.41	2620.95	2618.34	2618.67	178	0	35
2025.12.24	00:11:00	2618.64	2619.23	2618.12	2618.89	95	0	35
2025.12.24	00:12:00	2618.92	2619.45	2618.56	2619.12	84	0	35
2025.12.24	00:13:00	2619.09	2619.87	2618.78	2618.95	102	0	35
2025.12.24	00:14:00	2618.92	2619.56	2618.67	2619.23	78	0	35
2025.12.24	00:15:00	2619.26	2619.89	2619.01	2619.45	91	0	35
2025.12.24	00:16:00	2619.42	2619.78	2619.12	2619.56	86	0	35
2025.12.24	00:17:00	2619.59	2620.12	2619.34	2619.87	94	0	35
2025.12.24	00:18:00	2619.84	2620.34	2619.56	2619.78	82	0	35
2025.12.24	00:19:00	2619.75	2620.01	2618.89	2619.12	97	0	35
2025.12.24	00:20:00	2619.15	2619.67	2618.78	2619.34	75	0	35
2025.12.24	21:59:00	2623.78	2624.45	2623.34	2624.12	88	0	35
